Hierarchy,Id,Term,ChangeType,DescriptionId,Priority,
Body structure (body structure),182000,Canalisation -Prev.pref: Canalization,Preferred change,1392010,47
Body structure (body structure),354002,Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation -Prev.pref: Malignant peripheral nerve sheath tumour with rhabdomyoblastic differentiation,Preferred change,486150019,47
Body structure (body structure),487002,Coil/whorled fibers -Prev.pref: Coil/whorled fibres,Preferred change,495183015,47
Body structure (body structure),552004,Entire vagus nerve parasympathetic fibers to cardiac plexus -Prev.pref: Entire vagus nerve parasympathetic fibres to cardiac plexus,Preferred change,497147011,47
Body structure (body structure),810003,Spindle cell naevus -Prev.pref: Spindle cell nevus,Preferred change,2422015,47
Body structure (body structure),915007,Malignant melanoma in junctional naevus -Prev.pref: Malignant melanoma in junctional nevus,Preferred change,2614016,47
Body structure (body structure),1502004,Structure of anterior caecal artery -Prev.pref: Structure of anterior cecal artery,Preferred change,477011016,47
Body structure (body structure),1513001,Melanotic neuroectodermal tumor -Prev.pref: Melanotic neuroectodermal tumour,Preferred change,477150019,47
Body structure (body structure),2099007,Haemangioma -Prev.pref: Hemangioma,Preferred change,4624011,47
Body structure (body structure),2348006,Adenomatoid tumor -Prev.pref: Adenomatoid tumour,Preferred change,199458016,47
Body structure (body structure),3301002,Tectopontine fibers -Prev.pref: Tectopontine fibres,Preferred change,485390018,47
Body structure (body structure),3467000,Cell to cell relationship&#44; characterised by cell contact&#44; separation minimal or absent -Prev.pref: Cell to cell relationship&#44; characterized by cell contact&#44; separation minimal or absent,Preferred change,6850010,47
Body structure (body structure),3833004,Odontogenic tumor -Prev.pref: Odontogenic tumour,Preferred change,194837016,47
Body structure (body structure),4150005,Celiac nervous plexus structure -Prev.pref: Coeliac nervous plexus structure,Preferred change,493001016,47
Body structure (body structure),4230004,Pacinian tumor -Prev.pref: Pacinian tumour,Preferred change,194841017,47
Body structure (body structure),4392007,Malignant mixed tumor&#44; osteosarcomatous type -Prev.pref: Malignant mixed tumour&#44; osteosarcomatous type,Preferred change,194850015,47
Body structure (body structure),4549001,Entire vagus nerve parasympathetic fibers to liver&#44; gallbladder&#44; bile ducts and pancreas -Prev.pref: Entire vagus nerve parasympathetic fibres to liver&#44; gallbladder&#44; bile ducts and pancreas,Preferred change,494229016,47
Body structure (body structure),5008001,Pitting edema -Prev.pref: Pitting oedema,Preferred change,495585018,47
